"Rank","Desc"
"  1","Sisters"
"  1","Courtship"
"  1","Social classes"
"  1","England"
"  1","Domestic fiction,Young women"
"  1","Love stories"
"  2","Mentally ill women"
"  2","Feminist fiction,Psychological fiction,Married women"
"  2","Psychology"
"  2","Sex role"
"  2","Fiction"
"  3","Fantasy"
"  4","Monsters"
"  4","Fiction"
"  4","Frankenstein's monster (Fictitious character)"
"  4","Gothic fiction (Literary genre)"
"  4","Science fiction"
"  4","Frankenstein, Victor (Fictitious character)"
"  4","Scientists"
"  4","Horror tales"
"  5","Psychological fiction,Metamorphosis"
"  5","Fiction"
"  6","Male friendship"
"  6","Fiction"
"  6","Humorous stories"
"  6","Missouri"
"  6","Race relations"
"  6","Bildungsromans"
"  6","Finn, Huckleberry (Fictitious character)"
"  6","Fugitive slaves"
"  6","Mississippi River"
"  6","Adventure stories"
"  6","Runaway children"
"  6","Boys"
"  7","Identity (Psychology)"
"  7","Drama,Comedies,England"
"  7","Drama,Foundlings"
"  7","Drama"
"  8","Male friendship"
"  8","Fiction"
"  8","Humorous stories"
"  8","Missouri"
"  8","Child witnesses"
"  8","Bildungsromans"
"  8","Mississippi River Valley"
"  8","Adventure stories"
"  8","Runaway children"
"  8","Boys"
"  8","Sawyer, Tom (Fictitious character)"
"  9","Slaves"
"  9","United States"
"  9","Biography"
"  9","Douglass, Frederick, 1818-1895"
"  9","African American abolitionists"
"  9","Abolitionists"
" 10","Wives"
" 10","Drama,Man-woman relationships"
" 10","Drama,Marriage"
" 10","Drama,Norwegian drama"
" 10","Translations into English"
" 11","Ship captains"
" 11","Fiction"
" 11","Whaling ships"
" 11","Psychological fiction"
" 11","Whaling"
" 11","Whales"
" 11","Ahab, Captain (Fictitious character)"
" 11","Sea stories"
" 11","Adventure stories"
" 11","Mentally ill"
" 12","Private investigators"
" 12","England"
" 12","Fiction"
" 12","Detective and mystery stories, English"
" 12","Holmes, Sherlock (Fictitious character)"
" 13","Revenge"
" 13","Ex-convicts"
" 13","Orphans"
" 13","Bildungsromans,England"
" 13","Man-woman relationships"
" 13","Benefactors"
" 13","Young men"
" 13","Fiction"
" 14","Male friendship"
" 14","City and town life"
" 14","Psychological fiction,Alienation (Social psychology)"
" 14","Married people"
" 14","Jewish men"
" 14","Artists"
" 14","Epic literature,Domestic fiction,Dublin (Ireland)"
" 14","Fiction"
" 15","War stories"
" 15","France"
" 15","History"
" 15","Revolution, 1789-1799"
" 15","Fiction"
" 15","Paris (France)"
" 15","1789-1799"
" 15","French"
" 15","England"
" 15","London"
" 15","Executions and executioners"
" 15","London (England)"
" 15","18th century"
" 15","British"
" 15","Paris"
" 15","Historical fiction"
" 15","Lookalikes"
" 16","Ireland"
" 16","Politics and government"
" 16","18th century"
" 16","Humor"
" 16","Religious satire, English"
" 16","Political satire, English"
" 17","Dracula, Count (Fictitious character)"
" 17","Fiction"
" 17","Epistolary fiction"
" 17","Vampires"
" 17","Gothic fiction (Literary genre)"
" 17","Transylvania (Romania)"
" 17","Whitby (England)"
" 17","Horror tales"
" 18","Political ethics"
" 18","Early works to 1800"
" 18","Political science"
" 18","Philosophy"
" 18","State, The"
" 19","London (England)"
" 19","History"
" 19","1800-1950"
" 19","Fiction"
" 19","Conduct of life"
" 19","Paranormal fiction"
" 19","Portraits"
" 19","Appearance (Philosophy)"
" 19","Supernatural"
" 19","Great Britain"
" 19","Victoria, 1837-1901"
" 19","Didactic fiction"
" 20","War stories"
" 20","Napoleonic Wars, 1800-1815"
" 20","Campaigns"
" 20","Russia"
" 20","Fiction"
" 20","Aristocracy (Social class)"
" 20","Historical fiction"
" 20","History"
" 20","Alexander I, 1801-1825"
" 21","Fairy tales"
" 21","Germany"
" 22","Love,Sex"
" 23","Fathers and daughters"
" 23","Humorous stories,Bildungsromans,England"
" 23","Mate selection"
" 23","Female friendship"
" 23","Young women"
" 23","Love stories"
" 24","Dragons"
" 24","Poetry"
" 24","Epic poetry, English (Old)"
" 24","Monsters"
" 25","Paris (France)"
" 25","Ex-convicts"
" 25","Epic literature,Orphans"
" 25","Historical fiction"
" 26","Erotic stories"
" 27","Country homes"
" 27","Fathers and daughters"
" 27","Charity-schools"
" 27","Orphans"
" 27","Bildungsromans,England"
" 27","Married people"
" 27","Mentally ill women"
" 27","Governesses"
" 27","Young women"
" 27","Love stories"
" 28","American poetry"
" 28","19th century"
" 29","Short stories,Dublin (Ireland)"
" 29","Fiction"
" 30","Gentry"
" 30","England"
" 30","Sisters"
" 30","Social classes"
" 30","England"
" 30","Social life and customs"
" 30","19th century"
" 30","Mate selection"
" 30","Regency fiction,Inheritance and succession"
" 30","Domestic fiction,Young women"
" 30","Love stories"
" 31","Political science"
" 31","Early works to 1800"
" 31","State, The"
" 32","Self-experimentation in medicine"
" 32","Psychological fiction,Multiple personality"
" 32","Physicians"
" 32","London (England)"
" 32","Science fiction,Horror tales"
" 33","Treasure Island (Imaginary place)"
" 33","Pirates"
" 33","Treasure troves"
" 33","Sea stories"
" 34","Revenge"
" 34","Psychological fiction,Foundlings"
" 34","Heathcliff (Fictitious character : Bront<eb>)"
" 34","Triangles (Interpersonal relations)"
" 34","Rural families"
" 34","Domestic fiction,Rejection (Psychology)"
" 34","Yorkshire (England)"
" 34","Love stories"
" 35","Africa"
" 35","Psychological fiction,Imperialism"
" 35","Trading posts"
" 35","Europeans"
" 35","Degeneration"
" 35","fiction"
" 36","Adventure stories"
" 36","Revenge"
" 36","Fiction"
" 36","France"
" 36","History"
" 36","19th century"
" 36","Pirates"
" 36","Historical fiction"
" 36","Prisoners"
" 36","Dant<e8>s, Edmond (Fictitious character)"
" 37","Fantasy fiction"
" 37","Satire"
" 37","Voyages, Imaginary"
" 37","Early works to 1800"
" 37","Travelers"
" 37","Fiction"
" 37","Gulliver, Lemuel (Fictitious character)"
" 38","Louisiana"
" 38","Social life and customs"
" 38","Women"
" 38","New Orleans"
" 38","Social conditions"
" 38","New Orleans (La.)"
" 38","Self-actualization (Psychology)"
" 38","Adultery"
" 38","Fiction"
" 39","Peter Pan (Fictitious character)"
" 39","Fantasy,Fairies"
" 39","Juvenile fiction,Never-Never Land (Imaginary place)"
" 39","Pirates"
" 39","Juvenile fiction"
" 40","Buddhist philosophy"
" 40","Religious fiction,Buddhism"
" 40","India"
" 40","Gautama Buddha"
" 40","Fiction"
" 41","Utopias"
" 41","Early works to 1800,Justice"
" 41","Early works to 1800,Political science"
" 41","Early works to 1800,Classical literature"
" 42","Statesmen"
" 42","United States"
" 42","Biography"
" 42","Franklin, Benjamin, 1706-1790"
" 43","Atlantic Ocean"
" 43","Fiction"
" 43","Crusoe, Robinson (Fictitious character)"
" 43","Adventure stories"
" 43","Shipwreck survival"
" 43","Castaways"
" 43","Islands"
" 44","Pastoral poetry,English poetry"
" 44","18th century"
" 45","French essays"
" 45","Translations into English"
" 46","Epic poetry, Italian"
" 46","Translations into English"
" 46","Italian poetry"
" 46","To 1400"
" 47","Ghost stories"
" 47","Scrooge, Ebenezer (Fictitious character)"
" 47","Fiction"
" 47","Poor families"
" 47","Christmas stories"
" 47","London (England)"
" 47","Misers"
" 47","Sick children"
" 48","England"
" 48","Fiction"
" 48","Detective and mystery stories"
" 48","Holmes, Sherlock (Fictitious character)"
" 48","Private investigators"
" 49","Jungles"
" 49","Fiction"
" 49","Jungle animals"
" 49","Feral children"
" 49","Mowgli (Fictitious character)"
" 49","Adventure stories, English"
" 49","Animals"
" 49","Short stories"
" 49","India"
" 50","Saint Petersburg (Russia)"
" 50","Russia"
" 50","Detective and mystery stories,Psychological fiction"
" 51","Classical literature"
" 51","Epic poetry, Greek"
" 51","Translations into English"
" 51","Achilles (Mythological character)"
" 51","Poetry"
" 51","Trojan War"
" 52","Philosophy, German"
" 52","Ethics"
" 53","Satire,Optimism"
" 53","Fiction"
" 54","Steam-boilers, Water-tube"
" 55","Linguistics teachers"
" 55","Drama,London (England)"
" 55","Drama,Flower vending"
" 55","Drama,Social classes"
" 55","Drama,Comedies,Speech and social status"
" 55","Drama"
" 56","English drama"
" 56","Early modern and Elizabethan, 1500-1600"
" 57","Criminals"
" 57","Orphans"
" 57","Bildungsromans,London (England)"
" 57","Kidnapping victims"
" 57","Boys"
" 57","Fiction"
" 58","Africa"
" 58","Psychological fiction,Imperialism"
" 58","Trading posts"
" 58","Europeans"
" 58","Degeneration"
" 58","fiction"
" 59","English literature"
" 59","History and criticism"
" 60","Short stories"
" 60","United States"
" 60","History"
" 60","Civil War, 1861-1865"
" 60","Fiction"
" 60","Prisoners"
" 61","Toleration"
" 61","Early works to 1800,Liberty"
" 61","Early works to 1800,Political science"
" 61","Early works to 1800"
" 62","Bible"
" 63","Pornography,Sex addicts"
" 63","Biography,Erotic literature"
" 64","Fantasy,Oz (Imaginary place)"
" 64","Fiction"
" 65","Liberty"
" 66","Detective and mystery stories"
" 66","Holmes, Sherlock (Fictitious character)"
" 66","Fiction"
" 66","Private investigators"
" 66","England"
" 66","Blessing and cursing"
" 66","Dogs"
" 66","Dartmoor (England)"
" 67","Male friendship"
" 67","Fiction"
" 67","Thames River (England)"
" 67","Boats and boating"
" 67","England"
" 67","Thames River"
" 67","Dogs"
" 67","Humorous stories, English"
" 67","Young men"
" 67","Travel"
" 68","Fantasy"
" 69","Science fiction,Dystopias"
" 69","Time travel"
" 69","Fiction"
" 70","Slaves"
" 70","United States"
" 70","Biography"
" 70","Great Britain"
" 70","Equiano, Olaudah, 1745-1797"
" 71","Immigrants"
" 71","Political fiction,Meat industry and trade"
" 71","Lithuanian Americans"
" 71","Chicago (Ill.)"
